,Slots,Monday occupancy minutes,Tuesday occupancy minutes,Wednesday occupancy minutes,Thursday occupancy minutes,Friday occupancy minutes,Saturday occupancy minutes,Sunday occupancy minutes
0,12am-2am,54,0,127,2,0,68,3
1,2am-4am,0,0,0,0,0,0,85
2,4am-6am,0,1,0,56,0,16,0
3,6am-8am,10,18,12,23,2,159,145
4,8am-10am,147,20,157,20,288,20,28
5,10am-12pm,109,271,380,100,108,87,82
6,12pm-2pm,246,95,516,80,110,97,409
7,2pm-4pm,120,104,147,68,78,37,256
8,4pm-6pm,82,28,13,184,43,104,125
9,6pm-8pm,437,267,20,148,47,509,78
10,8pm-10pm,3,8,63,74,87,12,46
11,10pm-12am,15,66,1,2,29,34,24
