,Slots,Monday occupancy minutes,Tuesday occupancy minutes,Wednesday occupancy minutes,Thursday occupancy minutes,Friday occupancy minutes,Saturday occupancy minutes,Sunday occupancy minutes
0,12am-2am,1,1,37,13,1,5,0
1,2am-4am,0,0,0,0,0,0,0
2,4am-6am,0,9,0,0,0,1,0
3,6am-8am,5,11,51,17,19,9,1
4,8am-10am,8,14,12,11,9,7,2
5,10am-12pm,18,16,9,11,22,14,3
6,12pm-2pm,10,30,6,14,7,5,6
7,2pm-4pm,18,8,10,8,14,7,17
8,4pm-6pm,28,12,4,10,14,4,15
9,6pm-8pm,1,14,5,12,18,15,12
10,8pm-10pm,8,32,13,9,9,6,9
11,10pm-12am,5,12,11,7,4,0,15
