,Slots,Monday occupancy minutes,Tuesday occupancy minutes,Wednesday occupancy minutes,Thursday occupancy minutes,Friday occupancy minutes,Saturday occupancy minutes,Sunday occupancy minutes
0,12am-2am,900,847,90,449,676,627,213
1,2am-4am,0,0,201,0,0,11,0
2,4am-6am,0,0,0,0,101,126,95
3,6am-8am,170,478,0,387,34,173,2
4,8am-10am,92,129,0,0,223,31,156
5,10am-12pm,364,36,0,0,228,151,387
6,12pm-2pm,202,318,0,0,261,248,208
7,2pm-4pm,135,52,0,217,237,114,154
8,4pm-6pm,241,375,182,121,185,399,213
9,6pm-8pm,175,135,74,43,114,42,434
10,8pm-10pm,408,93,14,210,362,323,131
11,10pm-12am,0,109,0,0,89,83,80
