,Slots,Monday occupancy minutes,Tuesday occupancy minutes,Wednesday occupancy minutes,Thursday occupancy minutes,Friday occupancy minutes,Saturday occupancy minutes,Sunday occupancy minutes
0,12am-2am,84,0,0,0,450,0,1
1,2am-4am,0,2,0,0,0,0,0
2,4am-6am,0,0,12,0,0,11,0
3,6am-8am,0,24,0,0,104,0,0
4,8am-10am,234,79,0,80,157,44,70
5,10am-12pm,53,224,0,45,38,66,52
6,12pm-2pm,354,0,0,67,35,0,12
7,2pm-4pm,34,81,0,0,6,22,0
8,4pm-6pm,0,41,0,50,117,18,1
9,6pm-8pm,0,0,0,0,0,18,0
10,8pm-10pm,0,0,0,0,16,0,0
11,10pm-12am,0,1,0,0,4,2,0
