,Slots,Monday occupancy minutes,Tuesday occupancy minutes,Wednesday occupancy minutes,Thursday occupancy minutes,Friday occupancy minutes,Saturday occupancy minutes,Sunday occupancy minutes
0,12am-2am,550,9,245,391,257,1090,1027
1,2am-4am,77,0,103,0,3,4,17
2,4am-6am,2,61,0,26,198,0,8
3,6am-8am,26,177,98,26,28,443,53
4,8am-10am,12,52,257,6,76,22,202
5,10am-12pm,223,350,234,415,251,8,484
6,12pm-2pm,85,137,103,157,237,221,264
7,2pm-4pm,261,33,217,120,139,169,557
8,4pm-6pm,41,53,56,517,117,11,153
9,6pm-8pm,548,410,368,219,151,325,536
10,8pm-10pm,278,152,501,504,541,508,237
11,10pm-12am,12,214,82,66,97,292,62
