,Slots,Monday occupancy minutes,Tuesday occupancy minutes,Wednesday occupancy minutes,Thursday occupancy minutes,Friday occupancy minutes,Saturday occupancy minutes,Sunday occupancy minutes
0,12am-2am,0,0,2,7,4,0,0
1,2am-4am,1,0,0,0,0,10,8
2,4am-6am,0,82,0,0,9,0,15
3,6am-8am,145,0,70,31,15,50,3
4,8am-10am,1,36,20,31,148,472,214
5,10am-12pm,44,614,382,178,236,145,324
6,12pm-2pm,43,286,292,392,285,434,582
7,2pm-4pm,43,132,71,132,253,134,438
8,4pm-6pm,14,153,46,2,63,35,73
9,6pm-8pm,56,706,1465,747,602,936,473
10,8pm-10pm,27,118,58,69,153,83,252
11,10pm-12am,8,54,30,29,7,211,7
