,Slots,Monday occupancy minutes,Tuesday occupancy minutes,Wednesday occupancy minutes,Thursday occupancy minutes,Friday occupancy minutes,Saturday occupancy minutes,Sunday occupancy minutes
0,12am-2am,2250,3073,3054,5400,4500,3050,2183
1,2am-4am,0,0,0,0,0,0,330
2,4am-6am,0,64,0,0,0,0,4
3,6am-8am,3001,5031,3949,7083,3578,3981,1975
4,8am-10am,463,676,1565,467,1194,207,0
5,10am-12pm,994,1135,223,1240,400,609,887
6,12pm-2pm,196,201,612,689,1144,996,354
7,2pm-4pm,474,794,303,165,792,868,0
8,4pm-6pm,1016,294,1078,84,84,31,447
9,6pm-8pm,225,244,1167,797,416,58,741
10,8pm-10pm,314,162,0,24,119,17,145
11,10pm-12am,360,420,796,601,360,333,360
