,Slots,Monday occupancy minutes,Tuesday occupancy minutes,Wednesday occupancy minutes,Thursday occupancy minutes,Friday occupancy minutes,Saturday occupancy minutes,Sunday occupancy minutes
0,12am-2am,407,230,1565,1869,926,598,467
1,2am-4am,0,0,0,0,0,0,0
2,4am-6am,26,0,0,128,0,0,46
3,6am-8am,334,539,188,389,586,356,73
4,8am-10am,596,161,211,731,291,53,194
5,10am-12pm,577,711,77,302,181,576,91
6,12pm-2pm,187,532,197,372,256,342,480
7,2pm-4pm,305,135,466,261,177,145,316
8,4pm-6pm,173,203,450,521,177,304,274
9,6pm-8pm,1710,381,1907,941,1431,1369,133
10,8pm-10pm,0,186,3,0,369,243,156
11,10pm-12am,26,81,74,137,44,0,2
