,Slots,Monday occupancy minutes,Tuesday occupancy minutes,Wednesday occupancy minutes,Thursday occupancy minutes,Friday occupancy minutes,Saturday occupancy minutes,Sunday occupancy minutes
0,12am-2am,900,900,450,450,900,450,450
1,2am-4am,0,0,0,0,0,0,0
2,4am-6am,0,0,0,0,0,0,0
3,6am-8am,1025,794,659,782,587,78,21
4,8am-10am,204,210,11,203,53,84,0
5,10am-12pm,297,679,556,514,338,161,262
6,12pm-2pm,173,245,234,183,191,0,414
7,2pm-4pm,1117,36,453,0,17,327,565
8,4pm-6pm,144,391,0,371,16,524,301
9,6pm-8pm,0,220,0,297,156,178,451
10,8pm-10pm,0,0,0,0,101,0,109
11,10pm-12am,120,108,60,120,60,109,151
