,Slots,Monday occupancy minutes,Tuesday occupancy minutes,Wednesday occupancy minutes,Thursday occupancy minutes,Friday occupancy minutes,Saturday occupancy minutes,Sunday occupancy minutes
0,12am-2am,154,96,242,31,249,889,1508
1,2am-4am,0,0,60,0,41,34,24
2,4am-6am,20,25,164,48,5,34,14
3,6am-8am,119,6,61,84,430,74,1145
4,8am-10am,155,148,284,652,302,498,680
5,10am-12pm,393,281,273,134,94,140,520
6,12pm-2pm,155,48,358,287,485,226,38
7,2pm-4pm,57,250,2,82,57,280,127
8,4pm-6pm,166,122,36,8,123,111,224
9,6pm-8pm,8,70,187,325,212,218,218
10,8pm-10pm,57,231,260,274,139,37,0
11,10pm-12am,12,31,87,67,76,163,53
