,Slots,Monday occupancy minutes,Tuesday occupancy minutes,Wednesday occupancy minutes,Thursday occupancy minutes,Friday occupancy minutes,Saturday occupancy minutes,Sunday occupancy minutes
0,12am-2am,53,0,0,0,0,0,206
1,2am-4am,155,0,0,0,0,0,0
2,4am-6am,0,0,0,0,0,0,0
3,6am-8am,27,48,106,154,67,18,1
4,8am-10am,142,500,159,145,320,265,116
5,10am-12pm,386,263,67,101,197,196,1
6,12pm-2pm,181,326,447,137,268,250,86
7,2pm-4pm,228,164,300,204,376,238,346
8,4pm-6pm,89,239,200,252,129,145,308
9,6pm-8pm,485,441,490,92,149,319,76
10,8pm-10pm,38,62,0,0,27,69,7
11,10pm-12am,0,0,4,4,112,62,0
