,Slots,Monday occupancy minutes,Tuesday occupancy minutes,Wednesday occupancy minutes,Thursday occupancy minutes,Friday occupancy minutes,Saturday occupancy minutes,Sunday occupancy minutes
0,12am-2am,0,0,1165,6,1,95,571
1,2am-4am,0,0,0,0,56,2,0
2,4am-6am,18,52,0,82,50,4,5
3,6am-8am,51,5,58,115,101,47,35
4,8am-10am,73,76,86,90,65,33,8
5,10am-12pm,112,151,77,41,53,188,144
6,12pm-2pm,65,81,148,190,84,52,92
7,2pm-4pm,38,69,93,645,108,36,147
8,4pm-6pm,14,57,70,57,111,128,33
9,6pm-8pm,40,11,129,69,89,56,87
10,8pm-10pm,2,24,198,13,47,4,40
11,10pm-12am,2,0,0,12,101,11,63
