,Slots,Monday occupancy minutes,Tuesday occupancy minutes,Wednesday occupancy minutes,Thursday occupancy minutes,Friday occupancy minutes,Saturday occupancy minutes,Sunday occupancy minutes
0,12am-2am,456,893,450,423,168,826,1283
1,2am-4am,2,0,0,0,91,0,0
2,4am-6am,109,0,0,0,126,0,0
3,6am-8am,364,0,194,612,109,5,0
4,8am-10am,71,94,0,0,187,50,634
5,10am-12pm,24,298,0,0,117,223,0
6,12pm-2pm,219,113,265,0,84,100,237
7,2pm-4pm,114,135,0,0,373,105,0
8,4pm-6pm,250,166,77,42,0,262,26
9,6pm-8pm,12,181,139,128,39,92,232
10,8pm-10pm,280,209,135,210,210,420,349
11,10pm-12am,93,0,73,0,0,0,0
