,Monday Occupancy,Tuesday Occupancy,Wednesday Occupancy,Thursday Occupancy,Friday Occupancy,Saturday Occupancy,Sunday Occupancy
12am-2am,558,20,698,418,780,1094,2126
2am-4am,78,0,103,0,3,16,25
4am-6am,2,143,0,26,207,51,23
6am-8am,1319,388,905,172,43,1235,56
8am-10am,339,329,328,582,1402,1769,919
10am-12pm,615,1593,655,1119,1484,790,1365
12pm-2pm,286,579,562,1151,879,1411,1336
2pm-4pm,556,463,637,466,872,805,1517
4pm-6pm,435,278,640,1330,452,249,565
6pm-8pm,1570,1707,2187,1729,2252,2628,1917
8pm-10pm,923,706,773,649,813,1273,754
10pm-12am,29,268,130,395,222,725,139
