,Monday Occupancy,Tuesday Occupancy,Wednesday Occupancy,Thursday Occupancy,Friday Occupancy,Saturday Occupancy,Sunday Occupancy
12am-2am,1840,1885,2424,2866,1812,2359,2745
2am-4am,0,0,60,428,41,37,29
4am-6am,395,63,373,358,15,262,282
6am-8am,1347,1294,978,1732,2760,1896,2289
8am-10am,1793,1574,1746,2615,1107,1179,1108
10am-12pm,2156,1928,1384,1368,1103,1961,1279
12pm-2pm,1128,1636,1442,2383,1203,1221,1024
2pm-4pm,978,1313,820,899,926,1056,1384
4pm-6pm,759,967,1272,1129,1006,886,852
6pm-8pm,2990,2188,4058,2697,4451,2955,3117
8pm-10pm,61,1225,277,1170,708,441,157
10pm-12am,156,119,183,321,200,267,253
