,Monday Occupancy,Tuesday Occupancy,Wednesday Occupancy,Thursday Occupancy,Friday Occupancy,Saturday Occupancy,Sunday Occupancy
12am-2am,84,36,134,621,918,253,366
2am-4am,0,2,460,32,0,554,166
4am-6am,260,0,55,136,0,11,137
6am-8am,193,105,181,365,262,336,129
8am-10am,444,228,537,254,288,44,376
10am-12pm,209,457,116,111,327,241,181
12pm-2pm,766,99,93,517,191,245,248
2pm-4pm,91,363,54,97,242,202,182
4pm-6pm,194,152,89,181,289,287,218
6pm-8pm,211,213,239,239,266,220,297
8pm-10pm,191,189,225,391,333,285,138
10pm-12am,120,22,197,1,104,137,73
